metric,value
total_registros_procesados,100
total_registros_validos,82
total_registros_invalidos,18
conteo_categoria:cumplimiento_datos,12
conteo_categoria:direccion_ejecutiva,11
conteo_categoria:experiencia_paciente,12
conteo_categoria:facturacion,12
conteo_categoria:operaciones_clinicas,11
conteo_categoria:rrhh,12
conteo_categoria:tecnologia,12
conteo_estado:abierto,27
conteo_estado:cerrado,28
conteo_estado:descartado,27
invalidos:faltante:category,4
invalidos:faltante:incident_id,3
invalidos:faltante:status,4
invalidos:valor_invalido:category,4
invalidos:valor_invalido:status,6
satisfaccion_media_cerrados,3.04
cantidad_casos_cerrados_con_satisfaccion,28
